country_name,country_code,series_name,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010,yr2011,yr2012,yr2013,yr2014,yr2015,yr2016,yr2017,yr2018,yr2019,yr2020,yr2021,yr2022,yr2023,region
Ireland,IRL,GDP growth (annual %),6.78813997127008,5.73978167213708,4.98785381227775,5.31011822051231,-4.48407064569804,-5.0957831845721,1.68297202204354,1.28075209135081,-0.129692110994981,1.17461437395743,8.828998727303,24.4752533362377,1.76555687937534,9.31125930624903,8.47029545192876,5.2977280259237,6.61719466830968,15.1252197949572,9.43302211023355,-3.1987859599287,Europe & Central Asia
Ireland,IRL,Adjusted net national income per capita (annual % growth),0.886728712381242,3.17204557537596,1.53490056345751,1.07629294001373,-5.71404442513736,-9.85858827806186,0.985217162766432,-1.80118853909022,-0.829948935916619,5.75462286473598,7.08186300626097,4.41090537550055,4.41321827165804,1.7563732833094,2.55595700777143,3.62462127859217,-6.52106465232994,16.3406703930032,,,Europe & Central Asia
Ireland,IRL,Research and development expenditure (% of GDP),1.1777800321579,1.19196999073029,1.19886994361877,1.23407995700836,1.39126002788544,1.61371004581451,1.5947699546814,1.55262005329132,1.55675005912781,1.56757998466492,1.52098000049591,1.18211996555328,1.17507004737854,1.25187003612518,1.16719996929169,1.22527003288269,1.2325199842453,1.13092994689941,,,Europe & Central Asia
Ireland,IRL,Tax revenue (% of GDP),25.0697230795881,25.4571402375003,26.818812774603,25.937168346525,23.810941221499,22.0623763090019,21.8399865885578,21.8425189786746,22.5198221100879,22.9312626382482,23.0750000578094,18.7323905894023,19.078526100896,18.2025370330959,18.0403889470703,17.7130772308449,16.2000964755069,17.1720318490757,17.2715179746346,,Europe & Central Asia
Luxembourg,LUX,GDP per capita (constant 2015 US$),100292.568479162,101222.045664401,105614.179863952,112417.878458001,110094.792338745,104574.349887682,106544.057241723,105290.249048827,104487.744238704,105338.956059283,105583.937014123,105462.012584423,108351.452158933,107142.127556443,106376.783565763,107350.626687276,104616.03467801,110425.88843286,109714.924316129,105996.661496663,Europe & Central Asia
Luxembourg,LUX,"Employment to population ratio, 15+, total (%) (national estimate)",52.192,53.062,52.406,53.657,53.177,55.058,55.111,54.586,55.823,55.728,56.176,56.43,55.867,56.022,56.542,57.249,56.677,58.745,58.732,59.017,Europe & Central Asia
Luxembourg,LUX,GDP growth (annual %),4.23189130735582,2.48287474811472,6.01671504402741,8.0986676066054,-0.30017619444267,-3.23895402683188,3.76041359255095,1.04429869455731,1.64990202978652,3.17179049916005,2.62308601577192,2.26978448419565,4.97819043681629,1.31718766293677,1.21932191856359,2.9158479150005,-0.909829798886719,7.16840198697749,1.38018589083207,-1.09572361576994,Europe & Central Asia
Luxembourg,LUX,Adjusted net national income per capita (annual % growth),16.2822666409217,3.30245628065515,-5.88119197628659,13.3856501339902,-8.24816463975358,-26.9594629594248,14.0072158055249,1.02120240524894,12.9700251632391,-6.11110394867602,3.52934395291507,-13.4958005019551,4.33189183300181,8.34815520791672,-1.03294832209052,-7.58181049601296,2.59026606581271,10.5771757086318,,,Europe & Central Asia
Luxembourg,LUX,Research and development expenditure (% of GDP),1.58818995952606,1.55873000621796,1.64885997772217,1.57165002822876,1.54663002490997,1.58838999271393,1.4237300157547,1.42453002929688,1.20664000511169,1.23380994796753,1.21700000762939,1.2522599697113,1.26689994335175,1.23898005485535,1.17180001735687,1.18287003040314,1.09150004386902,1.04215002059937,,,Europe & Central Asia
Luxembourg,LUX,Tax revenue (% of GDP),24.0425731854332,25.3355554538416,23.9298412043057,24.380345488909,23.5557107740178,23.8391085158098,23.8178404378116,23.9870478540645,24.4278271542178,24.5522669560732,24.7451571133867,23.3218593726636,23.7675096749456,24.5181470528935,26.6445939070641,26.4662170936099,25.2550656638998,25.8655065735814,25.9728811154536,,Europe & Central Asia
Monaco,MCO,GDP per capita (constant 2015 US$),129740.548672864,132564.736089156,140815.152408156,162098.943453973,163097.966733688,142205.995539685,141743.742237028,148269.833440103,146511.948802869,157257.894015605,165362.509615774,170338.680381498,173916.315783045,168744.994245276,178571.347957464,191194.562185505,166822.571755127,204610.120440895,228667.935282559,,Europe & Central Asia
Monaco,MCO,"Employment to population ratio, 15+, total (%) (national estimate)",,,,,,,,,,,,,47.89,,,,,,,,Europe & Central Asia
Monaco,MCO,GDP growth (annual %),2.47048416786116,1.87567963514286,5.79404793257837,14.4386357978591,0.73961279095063,-11.3344849924422,2.06522003847931,7.02235796606936,1.01221796129491,9.57709795612061,7.18702789807635,4.8634732114333,2.96410458593932,-3.04412148638065,5.78034682080926,7.08346061161458,-13.0110935023772,21.8673711058481,11.0968262747971,,Europe & Central Asia
Monaco,MCO,Adjusted net national income per capita (annual % growth),,,,,,,,,,,,,,,,,,,,,Europe & Central Asia
Monaco,MCO,Research and development expenditure (% of GDP),0.0371900014579296,0.0382100008428097,,,,,,,,,,,,,,,,,,,Europe & Central Asia
Monaco,MCO,Tax revenue (% of GDP),,,,,,,,,,,,,,,,,,,,,Europe & Central Asia
Norway,NOR,GDP per capita (constant 2015 US$),72090.9862919578,73524.2549173583,74729.7366063199,76115.7066720983,75535.2117892008,73141.3073422967,72804.3956195341,72660.6754085214,73661.6785918009,73515.9144885958,74180.323865677,74809.9658049898,75017.4944737055,76247.4116556881,76373.6241145297,76712.2871258373,75287.2059530897,77812.7115682103,79434.6256451575,78939.4047672371,Europe & Central Asia
Norway,NOR,"Employment to population ratio, 15+, total (%) (national estimate)",69.471,69.03,69.414,70.831,71.904,70.425,69.316,69.034,69.186,68.68,68.418,67.945,67.217,66.822,67.4,64.642,60.982,63.091,63.603,63.331,Europe & Central Asia
Norway,NOR,GDP growth (annual %),4.01458801709728,2.68512289082248,2.46147313370328,2.91403998607174,0.481919541231974,-1.94036469505112,0.787051845495441,1.10565602733728,2.71795926678982,1.01619082409272,2.04813199855084,1.85733972643303,1.16472423497285,2.46374628510146,0.828900664137592,1.12377787436797,-1.2781717845226,3.90868677689417,3.00563516076298,0.514118226595343,Europe & Central Asia
Norway,NOR,Adjusted net national income per capita (annual % growth),6.7031826970744,9.67677315974507,5.58273660059241,1.28189481749068,1.0204773050725,-7.97501231938918,3.74161712557675,1.09392652351052,3.06660111124624,0.856109045075385,0.528782948410566,-1.72016186505233,-2.48079431454318,1.72943913794579,2.46406485740818,-3.89847990337854,-8.07255834612894,15.1042384268614,,,Europe & Central Asia
Norway,NOR,Research and development expenditure (% of GDP),1.53974997997284,1.47714996337891,1.44972002506256,1.5579400062561,1.54556000232697,1.71677994728088,1.6411999464035,1.61714005470276,1.61053001880646,1.64216005802155,1.70369005203247,1.92349994182587,2.032870054245,2.08167004585266,2.03482007980347,2.13599991798401,2.24435997009277,1.93798005580902,,,Europe & Central Asia
Norway,NOR,Tax revenue (% of GDP),27.3169686872771,28.2037338316716,28.7982988676647,28.0802178144493,27.7643980954451,25.8473541139282,26.7437669626856,27.5519417038651,26.8725432287815,25.0101364415185,23.412031718882,22.0885488164749,21.9603759264578,22.2900403628777,23.3136059270012,23.2830044006887,21.2531867719174,25.5027658859496,31.2732757669244,,Europe & Central Asia
Qatar,QAT,GDP per capita (constant 2015 US$),59634.733773585,58757.9926687326,61985.6992317129,60261.4317478575,60478.9035175353,60730.1247769397,68253.0658889652,73493.2689544236,72870.3737957496,72012.5495510667,69723.7273748036,66984.9102002396,64233.2622149736,60551.0200448825,60080.696551117,59621.3816442612,58476.1994319533,61022.5028952733,63428.3640948178,,Middle East & North Africa
Qatar,QAT,"Employment to population ratio, 15+, total (%) (national estimate)",75.91,,79.69,84.71,87.11,87.44,86.59,86.25,86.13,86.94,87.12,92.44,92.97,88.07,87.24,87.88,86.31,87.28,,,Middle East & North Africa
Qatar,QAT,GDP growth (annual %),19.2189153397893,7.49275848279068,26.1702456703032,17.9856568160263,17.6635563626089,11.9565611289086,19.5923315337859,13.3751764107929,4.73001184360784,5.55604064306607,5.33432329196459,4.75334572438737,3.06419188430156,-1.49760470227838,1.23487220191065,0.688240954592672,-3.5576039896784,1.62684671918775,4.20887124812552,,Middle East & North Africa
Qatar,QAT,Adjusted net national income per capita (annual % growth),,,,,,,,,,,,,,0.281702346855937,5.05162265517573,-4.87821237942238,-10.6860381772435,,,,Middle East & North Africa
Qatar,QAT,Research and development expenditure (% of GDP),,,,,,,,,0.47859999537468,,,0.518830001354218,,,0.531289994716644,,,0.680779993534088,,,Middle East & North Africa
Qatar,QAT,Tax revenue (% of GDP),,,,,,,,,,,,,,,,,,,,,Middle East & North Africa
Singapore,SGP,GDP per capita (constant 2015 US$),39856.6356222613,41798.4880834671,44159.4101820552,46178.8139470199,44601.5799302699,43331.8746638962,48752.0515441859,50713.5326393594,51679.352717333,53298.9728558286,54681.9336458253,55645.6068614606,56899.485124515,59414.6549459103,61216.1250918658,61333.6563161696,59144.3539186758,67638.6459886659,67948.8928271514,65422.4603166668,East Asia & Pacific
Singapore,SGP,"Employment to population ratio, 15+, total (%) (national estimate)",59.6,,62.11,61.24,63.02,61.6,63.49,63.48,64.12,64.13,64.52,65.75,65.25,64.87,65.08,65.17,64.5,67.208,67.461,66.202,East Asia & Pacific
Singapore,SGP,GDP growth (annual %),9.93998268434957,7.36632239250758,9.00676607871758,9.02151951268893,1.86348345462035,0.127953382778088,14.5197497108994,6.21493416858989,4.43549759378537,4.81763099120676,3.93554027709007,2.97679931634806,3.58864369582668,4.51292631770927,3.51711418509255,1.34505874082728,-3.86979893430043,9.69076687082064,3.83807678519807,1.07503175095101,East Asia & Pacific
Singapore,SGP,Adjusted net national income per capita (annual % growth),,,,,,,,,,,,,,,,,,,,,East Asia & Pacific
Singapore,SGP,Research and development expenditure (% of GDP),2.07858991622925,2.14806008338928,2.1165599822998,2.31985998153687,2.59674000740051,2.12789988517761,1.92918002605438,2.06955003738403,1.91832995414734,1.92104005813599,2.082279920578,2.1744499206543,2.07291007041931,1.89904999732971,1.80957996845245,1.8850599527359,2.16304993629456,,,,East Asia & Pacific
Singapore,SGP,Tax revenue (% of GDP),11.6045115798244,11.5770274018324,11.8310221766032,12.8204281959211,13.7543914469361,12.9549265300847,12.7858239691039,13.1057219512653,13.5806687357042,13.2712500808714,13.5565571344028,13.1397745298612,13.3086682238479,13.9900847741536,13.0131483056707,13.1515012662641,12.7315446821269,12.8128979341856,12.0331929577548,,East Asia & Pacific
Switzerland,CHE,GDP per capita (constant 2015 US$),74718.6836114474,76282.9839647849,78893.8077357762,81254.1700504637,82481.068036134,79585.5215942023,81315.4228645667,81874.3361860796,81964.8864216996,82479.9215356402,83394.3711423724,83806.4476003837,84611.0998479606,84967.5885484699,86756.6021294513,87123.6604363226,84637.0132313179,88520.3220012179,90057.0359422233,89942.537545472,Europe & Central Asia
Switzerland,CHE,"Employment to population ratio, 15+, total (%) (national estimate)",64.37,64.005,64.661,65.16,65.903,65.429,63.778,64.481,64.491,64.331,64.632,64.876,65.197,65.161,65.256,65.233,64.597,64.251,64.312,64.916,Europe & Central Asia
Switzerland,CHE,GDP growth (annual %),2.70170920967028,2.74969898498485,4.07362844994275,3.9163758177818,2.80798363168692,-2.29737463071545,3.24339733550173,1.81310819203695,1.17925383325108,1.79214405707484,2.34988127508626,1.64462768699285,2.0686896670996,1.36279955711416,2.86044579461633,1.14198232505277,-2.14173720650054,5.39188804141473,2.56832817834069,0.716066868695833,Europe & Central Asia
Switzerland,CHE,Adjusted net national income per capita (annual % growth),1.39835752536462,4.66991496373359,2.70412541887967,-5.03293108165957,-8.48654495143843,6.47952225308967,8.75886303575726,-4.54668889906968,2.47579368338047,-0.718670283423137,-1.46226726321017,2.66423383795677,-2.50027615957833,-1.5557537812017,-1.29515946185072,0.72891643102848,-6.21895866320456,7.61740307343226,,,Europe & Central Asia
Switzerland,CHE,Research and development expenditure (% of GDP),2.60818004608154,,,,2.65296006202698,,,,2.8745698928833,,,3.07832002639771,,3.07698011398315,,3.19679999351501,,3.35917997360229,,,Europe & Central Asia
Switzerland,CHE,Tax revenue (% of GDP),9.020393896535,9.12616072837828,9.19403806543004,9.0656237703257,9.58714189507603,9.34852798673042,9.36400803897084,9.32195218828286,9.1690747420643,9.25621409876975,9.08733953197482,9.55617901664748,9.40460314074152,10.0616352922898,9.69102394496102,9.90716918660662,9.34487114995366,10.0936772612024,9.10068229044156,,Europe & Central Asia
United States,USA,GDP per capita (constant 2015 US$),51348.3473376223,52649.5713054684,53596.3152372,54152.8292651299,53703.9628961267,51863.6183411923,52821.4047643404,53259.2552138539,54080.2286497215,54844.2425797154,55817.5632471958,57040.2082136605,57658.6708825722,58703.1440782154,60127.2102775233,61330.6459767318,59394.778327105,62741.0018131151,63720.7641611959,65020.3529285737,North America
United States,USA,"Employment to population ratio, 15+, total (%) (national estimate)",62.345,62.689,63.12,62.987,62.177,59.32,58.472,58.372,58.561,58.584,59.007,59.343,59.729,60.114,60.422,60.784,56.772,58.361,59.965,60.326,North America
United States,USA,GDP growth (annual %),3.84777169205226,3.483549937943,2.78453963938148,2.00385829825838,0.113587248258867,-2.57650023426996,2.6951925838264,1.56440685438301,2.28911338767897,2.11783009919846,2.52381981441982,2.94555045455233,1.81945147474293,2.45762230356996,2.96650507100425,2.46703756313913,-2.21346933290643,5.8002061284573,1.93549589483209,2.54270029878489,North America
United States,USA,Adjusted net national income per capita (annual % growth),2.88811030580763,1.81007288581921,2.7653435259615,-0.629235037364779,-3.59946955038079,-1.93798633693126,3.45155479826707,1.31003750303607,3.09149803417333,0.710790282760513,2.59435305666548,2.78291822591162,0.328784788967695,2.05985535744534,2.36903150698295,1.79794621085512,-4.36232329360638,5.06114746552046,,,North America
United States,USA,Research and development expenditure (% of GDP),2.48686003684998,2.50192999839783,2.54544997215271,2.61515998840332,2.74481010437012,2.79182004928589,2.71444988250732,2.73802995681763,2.6728401184082,2.70215010643005,2.71785998344421,2.78699994087219,2.85349988937378,2.90432000160217,3.0100998878479,3.170490026474,3.46777009963989,3.45705008506775,,,North America
United States,USA,Tax revenue (% of GDP),9.53747079117008,10.6817329318669,11.3104788990808,11.2899126640813,10.2761880916694,7.90351709244059,8.56322203026373,9.53892861749163,9.76391736911044,10.4602254541478,10.8997481732594,11.1828279598944,10.8545149876524,11.5038867327939,9.92953894064227,9.89436326037415,10.2112024837089,11.3004081413642,12.1778835763119,,North America
